,customer_segment,tenure_months,signup_channel,contract_type,monthly_logins,weekly_active_days,features_used,last_login_days_ago,monthly_fee,total_revenue,payment_failures,discount_applied,price_increase_last_3m,support_tickets,avg_resolution_time,csat_score,escalations,survey_response,referral_count,churn
1415,SME,45,Web,Monthly,11,7,7,1.6094379124341003,20,6.803505257608338,2,No,No,1,2.3828972284787966,4.0,0,Satisfied,0,0
1416,Individual,14,Web,Monthly,44,5,5,0.0,50,6.55250788703459,0,No,No,1,23.680012415586475,5.0,1,Satisfied,0,0
1419,Individual,42,Referral,Monthly,20,2,5,3.332204510175204,30,7.13966033596492,2,No,No,0,29.852963014038064,3.0,1,Neutral,1,1
1420,Individual,59,Referral,Monthly,5,6,6,2.0794415416798357,10,6.3818160174060985,0,No,No,2,24.391168486922044,2.0,0,Satisfied,0,0
1421,Individual,11,Referral,Quarterly,21,5,9,2.1972245773362196,50,6.311734809152915,0,No,No,1,21.68447276721955,5.0,0,Neutral,0,0
1425,Individual,42,Referral,Quarterly,0,1,6,1.9459101490553132,50,7.650168700845001,0,Yes,No,2,30.77919334458766,1.0,0,Satisfied,1,0
1426,SME,10,Mobile,Yearly,38,3,4,1.791759469228055,70,6.55250788703459,0,No,No,0,13.692620346493417,4.0,0,Neutral,1,0
1427,Individual,3,Mobile,Monthly,24,2,5,0.0,20,4.110873864173311,3,No,No,1,18.348045514770305,3.0,1,Unsatisfied,1,0
1428,Individual,11,Web,Monthly,35,3,2,1.6094379124341003,70,6.647688373563329,0,No,No,1,40.0547029400811,3.0,0,Satisfied,2,0
1430,SME,16,Web,Monthly,21,6,3,3.295836866004329,50,6.68586094706836,0,No,No,1,27.04952765532235,2.0,0,Satisfied,3,0
1433,SME,41,Web,Monthly,30,6,8,0.6931471805599453,50,7.62608275807238,0,No,No,0,23.302771909975263,5.0,0,Satisfied,1,0
1434,Individual,1,Referral,Quarterly,2,4,5,0.6931471805599453,10,2.3978952727983707,1,No,No,0,35.22912575823472,4.0,0,Unsatisfied,1,0
1435,Individual,38,Web,Monthly,11,5,6,0.6931471805599453,50,7.550135342488429,1,No,Yes,1,10.609052792679035,4.0,0,Neutral,1,0
1436,Individual,50,Referral,Monthly,7,0,7,1.0986122886681098,20,6.90875477931522,1,Yes,No,1,22.16638734789147,3.0,0,Satisfied,0,0
1437,SME,57,Mobile,Yearly,37,4,3,3.4339872044851463,50,7.955425088912672,0,No,No,0,26.695196163602645,3.0,0,Unsatisfied,0,0
1438,Individual,45,Web,Monthly,31,7,9,2.70805020110221,30,7.208600337960199,0,No,Yes,0,24.030495362011905,4.0,0,Neutral,0,0
1439,Individual,34,Web,Quarterly,16,5,6,1.0986122886681098,10,5.831882477283517,1,No,No,2,27.274338978939983,2.0,0,Neutral,1,0
1440,Individual,19,Mobile,Monthly,30,7,7,2.4849066497880004,20,5.942799375126701,0,No,Yes,1,32.30748671313318,4.0,1,Neutral,0,0
1441,Enterprise,34,Referral,Monthly,6,3,9,2.3978952727983707,10,5.831882477283517,1,No,No,1,9.5903459434401,3.0,0,Unsatisfied,1,0
1442,Individual,59,Referral,Monthly,23,6,10,1.3862943611198906,10,6.3818160174060985,2,No,No,1,29.358144041245485,2.0,0,Unsatisfied,0,1
1443,Individual,36,Web,Monthly,29,0,5,1.6094379124341003,100,8.188966863648876,0,Yes,No,1,42.04050982381136,5.0,1,Neutral,1,0
1444,Individual,4,Web,Monthly,14,4,6,3.1780538303479458,20,4.394449154672439,0,No,No,2,7.929870996093086,3.0,0,Satisfied,1,1
1445,Individual,10,Web,Yearly,19,7,8,1.9459101490553132,10,4.61512051684126,1,Yes,No,4,15.980848785059994,3.0,0,Neutral,1,0
1446,SME,17,Mobile,Quarterly,25,4,3,3.367295829986474,70,7.0825485693553,0,No,No,0,17.785708452684542,3.0,0,Satisfied,2,0
1447,SME,56,Web,Quarterly,31,1,5,1.0986122886681098,20,7.02197642307216,1,No,No,1,31.026225097796186,3.0,1,Neutral,0,0
1448,SME,16,Web,Monthly,4,0,3,0.0,20,5.771441123130016,1,No,Yes,0,21.069739436392123,4.0,0,Neutral,1,0
1449,SME,21,Mobile,Monthly,18,7,6,1.9459101490553132,70,7.293697720601438,1,Yes,No,3,28.324698458422784,5.0,1,Neutral,2,0
1452,Enterprise,29,Mobile,Monthly,16,5,4,2.3978952727983707,20,6.364750756851911,1,Yes,No,0,25.659684484839016,4.0,0,Satisfied,1,0
1453,Individual,6,Mobile,Monthly,28,6,5,1.6094379124341003,10,4.110873864173311,0,Yes,No,0,11.444890040231426,4.0,1,Satisfied,0,0
1455,Individual,2,Mobile,Monthly,15,3,6,1.3862943611198906,10,3.044522437723423,0,Yes,Yes,2,36.890401746727015,5.0,1,Satisfied,1,1
1456,SME,55,Mobile,Quarterly,40,0,1,0.0,20,7.00397413672268,0,No,Yes,2,16.689813739066103,3.0,0,Satisfied,2,0
1457,Individual,58,Mobile,Monthly,17,6,8,0.0,50,7.972810784121404,1,No,No,1,16.591799309909426,3.0,0,Satisfied,1,0
1458,SME,47,Referral,Monthly,30,1,8,1.6094379124341003,20,6.846943139585379,0,No,No,1,28.32581918447358,5.0,0,Satisfied,0,0
1461,SME,23,Mobile,Quarterly,34,1,3,0.6931471805599453,50,7.048386408721883,0,No,No,3,39.1024896373784,2.0,0,Neutral,1,0
1462,Individual,43,Mobile,Yearly,28,5,9,1.6094379124341003,20,6.7580945044277305,1,Yes,No,1,39.27495244500349,3.0,0,Satisfied,2,0
1463,Individual,21,Web,Monthly,15,6,4,3.6635616461296463,30,6.447305862541213,0,No,No,2,25.510682250285267,4.0,0,Satisfied,2,0
1464,Enterprise,16,Web,Quarterly,36,3,5,0.0,20,5.771441123130016,0,No,No,2,23.93306115404633,4.0,0,Satisfied,1,0
1465,SME,4,Mobile,Monthly,13,2,5,2.302585092994046,30,4.795790545596741,0,No,Yes,3,25.396387686372925,2.0,0,Neutral,0,1
1467,Individual,46,Web,Quarterly,20,3,6,3.091042453358316,30,7.2305631534092925,2,No,No,0,27.324106964689918,4.0,0,Satisfied,1,0
1468,Individual,8,Mobile,Quarterly,17,1,10,1.791759469228055,10,4.394449154672439,0,Yes,No,2,25.805164592192035,3.0,1,Unsatisfied,4,0
1469,Individual,6,Web,Quarterly,8,6,5,1.791759469228055,50,5.707110264748875,0,Yes,No,5,29.32768938838056,4.0,0,Neutral,0,0
1471,Individual,55,Web,Monthly,22,1,6,0.0,10,6.311734809152915,1,Yes,No,5,12.146528823566928,5.0,0,Satisfied,3,0
1472,Individual,27,Web,Quarterly,28,0,8,2.302585092994046,30,6.698268054115413,0,No,No,1,25.779055241396623,3.0,0,Unsatisfied,1,0
1473,Individual,51,Web,Quarterly,46,3,8,2.5649493574615367,70,8.18060094759445,2,Yes,No,3,20.871692580633265,2.0,0,Neutral,1,0
1474,Individual,57,Web,Monthly,32,4,6,0.0,70,8.291797105048733,0,No,No,1,31.99322289766659,2.0,0,Neutral,0,1
1475,Individual,36,Web,Yearly,9,5,4,2.5649493574615367,100,8.188966863648876,1,No,No,1,34.58215130892272,2.0,0,Neutral,2,0
1476,Individual,36,Web,Monthly,47,4,5,2.3978952727983707,50,7.496097345175956,1,No,Yes,2,11.757927425785375,5.0,0,Unsatisfied,1,1
1477,Enterprise,24,Web,Quarterly,20,6,2,0.0,100,7.783640596221253,1,Yes,No,0,30.499322225534694,3.0,0,Neutral,2,0
1478,Individual,6,Mobile,Quarterly,23,3,5,2.9444389791664403,10,4.110873864173311,1,No,No,2,13.118957475328656,4.0,1,Unsatisfied,1,0
1481,Individual,2,Mobile,Monthly,19,5,7,2.302585092994046,20,3.713572066704308,0,Yes,No,0,15.426819683691065,3.0,0,Satisfied,0,0
1482,Individual,41,Web,Monthly,26,2,3,1.791759469228055,10,6.018593214496234,1,Yes,No,2,37.12407770514244,3.0,0,Satisfied,1,0
1483,Individual,16,Web,Quarterly,29,2,6,2.302585092994046,10,5.081404364984463,2,No,Yes,1,25.304586849106496,4.0,0,Neutral,1,0
1485,Individual,55,Referral,Quarterly,31,2,3,1.791759469228055,50,7.919719760924575,0,No,No,0,25.73427011716061,3.0,0,Neutral,2,0
1486,Individual,59,Referral,Monthly,14,0,4,1.791759469228055,70,8.326274787396764,0,Yes,No,0,25.15939238399998,3.0,1,Satisfied,3,0
1487,SME,9,Web,Monthly,31,2,7,0.6931471805599453,70,6.447305862541213,2,No,No,2,28.49230089908469,4.0,0,Satisfied,2,0
1488,Individual,51,Mobile,Monthly,13,3,3,2.1972245773362196,20,6.928537818164665,1,No,No,1,20.654583787716064,4.0,0,Unsatisfied,1,0
1489,Enterprise,5,Referral,Quarterly,8,6,1,1.791759469228055,50,5.5254529391317835,1,Yes,No,3,27.715917990501044,4.0,1,Unsatisfied,1,0
1490,Individual,53,Mobile,Quarterly,17,5,8,1.6094379124341003,20,6.966967138613983,2,No,No,1,11.402153550299063,3.0,0,Neutral,1,0
1492,Individual,30,Web,Monthly,10,5,8,2.302585092994046,50,7.313886831633462,1,Yes,No,0,8.084957070661561,3.0,0,Unsatisfied,4,0
1494,Individual,29,Mobile,Monthly,14,2,1,0.0,20,6.364750756851911,1,Yes,No,1,13.669489455412364,5.0,0,Satisfied,2,0
1495,Enterprise,2,Mobile,Quarterly,20,7,8,0.0,30,4.110873864173311,0,No,No,3,12.74061931120074,4.0,0,Satisfied,1,1
1496,Individual,20,Mobile,Quarterly,25,4,4,1.3862943611198906,20,5.993961427306569,1,No,Yes,1,20.16843042515586,4.0,0,Satisfied,0,0
1497,SME,59,Web,Monthly,19,2,4,2.0794415416798357,70,8.326274787396764,0,Yes,No,1,20.899021743878805,3.0,0,Unsatisfied,1,0
1498,SME,4,Referral,Quarterly,10,3,6,2.302585092994046,10,3.713572066704308,0,No,No,1,16.795171761848522,3.0,0,Satisfied,0,1
1499,SME,28,Referral,Yearly,16,3,7,1.6094379124341003,100,7.937731775260109,0,No,No,0,26.556586082397956,3.0,0,Neutral,3,1
1501,Enterprise,58,Web,Quarterly,13,3,11,2.772588722239781,20,7.057036981697891,1,No,No,0,9.415324119274915,4.0,0,Satisfied,0,0
1502,SME,35,Mobile,Quarterly,10,7,11,2.302585092994046,50,7.467942332285852,1,No,No,0,32.400931968403995,3.0,0,Neutral,1,0
1503,Individual,2,Web,Monthly,4,2,8,1.6094379124341003,10,3.044522437723423,0,No,No,3,11.815186708135183,5.0,0,Neutral,0,1
1504,Individual,41,Web,Monthly,13,0,3,0.0,70,7.962415680121064,0,Yes,No,0,1.0,4.0,0,Satisfied,2,0
1505,Enterprise,28,Web,Monthly,28,3,5,3.332204510175204,50,7.244941546337007,0,Yes,No,1,22.378286415051587,3.0,0,Satisfied,2,0
1506,Enterprise,11,Referral,Yearly,12,7,2,3.6635616461296463,30,5.802118375377063,0,No,Yes,3,21.76300815785467,4.0,1,Neutral,0,0
1507,Individual,36,Referral,Monthly,19,5,3,0.6931471805599453,20,6.580639137284949,1,No,No,3,30.577347996235613,4.0,0,Unsatisfied,3,0
1508,SME,9,Web,Monthly,15,0,8,1.791759469228055,10,4.51085950651685,0,No,Yes,3,35.32746320893669,4.0,0,Unsatisfied,2,0
1510,Individual,1,Mobile,Monthly,33,6,4,2.0794415416798357,50,3.9318256327243257,0,No,Yes,0,10.31990493826131,4.0,0,Satisfied,1,1
1511,Individual,27,Web,Monthly,18,2,7,1.9459101490553132,30,6.698268054115413,0,No,No,3,12.507805252960347,1.0,0,Unsatisfied,0,0
1512,Individual,3,Referral,Monthly,7,5,8,1.0986122886681098,20,4.110873864173311,1,No,No,2,11.283469659772324,4.0,1,Neutral,0,0
1513,SME,39,Mobile,Monthly,4,0,8,3.1780538303479458,10,5.968707559985366,0,Yes,No,1,13.060708674912997,5.0,1,Satisfied,0,0
1514,Individual,9,Referral,Quarterly,9,0,4,3.1354942159291497,10,4.51085950651685,1,Yes,No,2,36.482366912546375,4.0,0,Satisfied,0,0
1515,Individual,40,Web,Quarterly,8,3,9,2.4849066497880004,10,5.993961427306569,0,Yes,No,0,35.77352368845294,5.0,0,Neutral,2,0
1516,Individual,28,Mobile,Monthly,28,5,3,2.5649493574615367,10,5.638354669333745,1,No,No,2,16.653776269201604,4.0,0,Neutral,0,0
1517,Individual,21,Web,Quarterly,17,2,5,1.6094379124341003,20,6.042632833682381,0,No,No,0,26.95253501540753,3.0,0,Unsatisfied,0,0
1519,SME,45,Mobile,Monthly,17,6,5,1.9459101490553132,20,6.803505257608338,0,No,No,0,11.743847797792515,4.0,0,Satisfied,1,0
1520,Individual,24,Referral,Monthly,17,4,1,2.3978952727983707,100,7.783640596221253,0,No,No,1,21.14653642065672,4.0,0,Neutral,1,0
1521,Enterprise,18,Mobile,Yearly,29,1,1,1.791759469228055,10,5.198497031265826,0,No,No,1,27.361779189756533,3.0,0,Unsatisfied,1,0
1522,Individual,51,Web,Quarterly,30,0,1,1.3862943611198906,70,8.18060094759445,0,No,No,1,30.97436726814793,3.0,1,Unsatisfied,0,0
1523,SME,56,Web,Monthly,37,6,6,3.044522437723423,20,7.02197642307216,1,No,No,0,12.978533560441695,3.0,0,Satisfied,1,0
1524,Enterprise,9,Referral,Monthly,11,2,3,1.3862943611198906,20,5.198497031265826,0,No,No,1,34.00680796056981,4.0,0,Neutral,0,0
1525,Individual,26,Web,Quarterly,16,0,6,2.302585092994046,20,6.255750041753367,0,No,No,3,12.356714664473468,3.0,0,Satisfied,2,0
1529,Individual,59,Mobile,Monthly,29,2,3,1.0986122886681098,20,7.074116816197362,1,No,No,3,3.925476583565885,3.0,0,Satisfied,1,0
1530,Enterprise,53,Web,Quarterly,13,7,4,1.6094379124341003,50,7.8826922062890254,2,No,No,3,29.80565423496748,3.0,0,Unsatisfied,0,0
1532,Enterprise,36,Mobile,Monthly,20,3,12,3.044522437723423,30,6.985641817639208,1,Yes,No,1,20.79406855303342,4.0,0,Unsatisfied,1,0
1533,Enterprise,9,Referral,Monthly,9,7,9,3.5553480614894135,20,5.198497031265826,1,No,No,1,16.876793218567187,3.0,0,Neutral,0,1
1535,Individual,3,Mobile,Yearly,26,1,8,0.6931471805599453,100,5.707110264748875,1,Yes,No,0,48.62791055279785,5.0,0,Neutral,0,0
1536,SME,49,Referral,Quarterly,0,1,5,0.0,50,7.804251383528112,0,No,No,1,34.26035886458408,5.0,0,Satisfied,2,0
1537,Individual,29,Web,Monthly,29,6,6,1.3862943611198906,10,5.673323267171493,0,Yes,Yes,1,33.25241699294254,3.0,0,Unsatisfied,0,0
1538,Individual,7,Web,Quarterly,5,7,4,1.791759469228055,30,5.351858133476067,0,No,No,1,27.15721978429926,3.0,0,Unsatisfied,1,0
1539,Enterprise,26,Web,Quarterly,17,1,8,0.6931471805599453,50,7.170888478512505,1,No,No,2,9.299837492998858,4.0,1,Neutral,0,0
1540,SME,8,Referral,Yearly,18,0,6,2.4849066497880004,100,6.68586094706836,1,Yes,No,1,16.38470983420488,4.0,0,Unsatisfied,0,0
1541,Individual,43,Web,Yearly,0,7,3,3.1780538303479458,30,7.1631723908466425,1,No,No,0,25.805143360086944,5.0,2,Satisfied,1,0
1542,SME,13,Web,Monthly,13,2,5,1.791759469228055,70,6.814542897259958,1,No,No,0,22.069140750684628,4.0,0,Satisfied,3,0
1543,Individual,35,Referral,Yearly,24,7,4,3.828641396489095,50,7.467942332285852,2,No,No,1,33.39329023284836,5.0,0,Neutral,0,0
1544,Individual,19,Web,Monthly,38,4,6,1.3862943611198906,10,5.25227342804663,1,No,No,1,31.038150672507868,3.0,0,Neutral,1,0
1545,Enterprise,46,Web,Monthly,28,2,3,1.791759469228055,50,7.741099090035366,1,No,No,1,38.563855484266256,3.0,0,Satisfied,0,0
1546,SME,22,Mobile,Monthly,29,0,7,0.0,50,7.00397413672268,1,Yes,No,1,13.495268732236756,1.0,0,Neutral,2,1
1547,Individual,16,Mobile,Monthly,0,5,8,2.5649493574615367,20,5.771441123130016,0,Yes,No,1,47.65733415364056,4.0,0,Satisfied,1,0
1548,Individual,15,Web,Yearly,16,3,3,0.0,70,6.957497370876951,1,No,No,0,20.444468952378603,1.0,2,Satisfied,0,0
1550,Individual,38,Web,Quarterly,29,6,7,1.0986122886681098,50,7.550135342488429,1,No,No,0,16.527942653078483,5.0,0,Satisfied,0,0
1552,Individual,30,Mobile,Monthly,21,6,6,1.0986122886681098,20,6.398594934535208,0,No,Yes,1,47.275944413060856,4.0,0,Satisfied,3,0
1553,SME,7,Web,Monthly,29,4,3,2.1972245773362196,20,4.948759890378168,1,No,No,1,14.181735864920064,4.0,1,Satisfied,2,0
1554,Individual,31,Referral,Quarterly,29,5,4,0.0,70,7.682943169878292,0,No,No,1,33.49288448113132,3.0,1,Neutral,0,0
1555,Individual,41,Web,Yearly,18,4,4,0.0,30,7.115582126184454,0,No,No,3,30.77993587413352,4.0,0,Unsatisfied,2,0
1556,Individual,41,Web,Yearly,17,0,2,3.091042453358316,10,6.018593214496234,0,Yes,No,0,22.021258296329947,3.0,0,Neutral,2,0
1557,Individual,49,Referral,Monthly,24,6,3,2.772588722239781,20,6.8885724595653635,0,No,No,1,32.17009800430312,2.0,0,Unsatisfied,0,1
1558,Individual,55,Web,Yearly,29,1,6,3.5553480614894135,10,6.311734809152915,1,No,No,1,22.886146524032405,4.0,0,Satisfied,1,0
1559,Individual,35,Web,Yearly,16,5,1,1.0986122886681098,10,5.860786223465865,0,No,Yes,1,32.78568258208156,3.0,1,Unsatisfied,3,0
1561,SME,34,Web,Quarterly,19,1,5,4.1588830833596715,50,7.438971592395862,0,Yes,No,1,27.965360419480955,4.0,0,Neutral,1,0
1562,Individual,1,Referral,Monthly,7,6,5,2.4849066497880004,70,4.2626798770413155,0,No,No,1,27.317410840831737,3.0,0,Satisfied,0,0
1563,Individual,10,Referral,Monthly,39,6,4,1.3862943611198906,10,4.61512051684126,0,No,No,0,11.576592218470743,3.0,0,Unsatisfied,0,0
1564,Enterprise,30,Web,Yearly,10,2,5,1.0986122886681098,20,6.398594934535208,0,No,No,0,13.488246996927325,5.0,0,Neutral,2,0
1565,SME,32,Web,Quarterly,18,1,4,2.9444389791664403,30,6.8679744089702925,0,Yes,No,2,13.425659917798496,5.0,0,Satisfied,0,0
1566,SME,3,Mobile,Quarterly,12,4,1,1.791759469228055,50,5.017279836814924,1,Yes,No,2,12.01489723412489,2.0,0,Unsatisfied,0,1
1567,Individual,10,Web,Yearly,14,1,1,0.0,30,5.707110264748875,0,Yes,No,2,19.85910421426925,2.0,1,Satisfied,1,0
1568,Individual,9,Web,Monthly,28,5,3,1.6094379124341003,20,5.198497031265826,2,No,No,1,5.98208392732937,4.0,0,Satisfied,0,1
1569,SME,17,Web,Monthly,30,5,3,0.6931471805599453,20,5.831882477283517,0,Yes,Yes,0,26.207671292578503,3.0,1,Satisfied,2,0
1570,SME,47,Web,Monthly,26,4,7,0.0,50,7.762596048540069,0,Yes,No,1,15.591195728200232,3.0,0,Neutral,0,0
1571,Individual,3,Mobile,Quarterly,29,7,4,3.091042453358316,10,3.4339872044851463,1,Yes,No,3,27.00605637557701,3.0,0,Satisfied,1,0
1572,Individual,27,Referral,Yearly,14,4,6,2.4849066497880004,30,6.698268054115413,0,No,No,2,25.873529427088386,3.0,0,Neutral,1,0
1573,Enterprise,53,Mobile,Quarterly,9,7,6,2.4849066497880004,30,7.372118028337787,0,Yes,No,1,14.982472293851094,4.0,0,Satisfied,0,0
1574,Individual,35,Mobile,Yearly,12,2,7,2.302585092994046,30,6.957497370876951,0,Yes,Yes,2,26.02878509178667,4.0,1,Neutral,2,0
1575,Individual,4,Web,Quarterly,24,7,4,2.5649493574615367,10,3.713572066704308,0,No,No,1,16.447276866280426,4.0,0,Satisfied,1,0
1576,Individual,4,Referral,Quarterly,32,5,4,3.4011973816621555,10,3.713572066704308,0,No,No,1,46.26785820372486,5.0,0,Satisfied,1,0
1577,SME,49,Referral,Quarterly,7,1,5,0.0,30,7.293697720601438,0,Yes,No,1,12.538232879429613,3.0,0,Satisfied,1,0
1578,SME,32,Referral,Yearly,16,3,2,0.0,50,7.3783837129967145,3,No,Yes,1,31.013096431476985,4.0,0,Satisfied,0,1
1580,Individual,11,Mobile,Monthly,12,3,3,1.791759469228055,30,5.802118375377063,0,No,No,3,31.830065034384692,3.0,0,Satisfied,2,0
1581,Individual,44,Mobile,Monthly,25,5,2,0.0,20,6.78105762593618,0,Yes,No,0,48.19021564477622,4.0,0,Unsatisfied,0,0
1582,Individual,55,Web,Yearly,29,2,4,3.4657359027997265,20,7.00397413672268,1,No,No,2,25.50735794982321,5.0,0,Satisfied,1,0
1584,SME,45,Web,Monthly,39,2,8,1.9459101490553132,70,8.055475141757274,2,No,No,3,31.073680665664675,3.0,0,Unsatisfied,1,0
1586,Individual,55,Web,Quarterly,15,3,3,2.70805020110221,10,6.311734809152915,0,No,No,2,37.78807164626221,4.0,0,Neutral,1,0
1587,SME,35,Web,Monthly,27,2,5,0.0,10,5.860786223465865,1,No,No,2,20.2344045597479,4.0,1,Satisfied,1,0
1588,Individual,53,Referral,Yearly,0,4,3,2.3978952727983707,50,7.8826922062890254,2,No,No,3,51.02730307453545,3.0,0,Satisfied,2,1
1589,Individual,46,Web,Quarterly,26,7,5,1.9459101490553132,50,7.741099090035366,1,No,No,1,25.182457057365248,5.0,1,Satisfied,1,0
1590,Individual,32,Web,Monthly,23,2,3,2.1972245773362196,30,6.8679744089702925,1,No,No,2,26.478944419270665,4.0,0,Neutral,0,0
1591,Individual,46,Mobile,Monthly,20,5,10,1.0986122886681098,50,7.741099090035366,2,Yes,Yes,2,43.90134605580543,5.0,1,Unsatisfied,0,1
1592,Enterprise,23,Web,Monthly,12,2,5,1.9459101490553132,10,5.442417710521793,0,No,No,0,24.247589462838008,3.0,0,Satisfied,2,0
1593,Individual,42,Mobile,Quarterly,27,3,8,1.3862943611198906,70,7.9865049385539955,0,No,No,2,17.637845230545995,5.0,1,Satisfied,1,0
1594,Enterprise,37,Mobile,Monthly,10,5,2,1.791759469228055,50,7.523481312573497,1,No,No,0,30.7456076273974,2.0,2,Neutral,1,0
1596,Individual,34,Referral,Quarterly,26,2,7,0.6931471805599453,20,6.523562306149512,2,No,Yes,0,18.20765948734473,3.0,0,Satisfied,2,0
1597,Individual,38,Mobile,Monthly,24,5,6,1.9459101490553132,30,7.039660349862076,1,No,No,0,31.50561312147098,3.0,0,Satisfied,0,0
1598,Individual,55,Mobile,Quarterly,10,5,4,1.0986122886681098,30,7.409136443920128,0,No,No,2,20.428514185574212,2.0,0,Satisfied,0,0
1599,Individual,11,Referral,Yearly,13,5,4,1.3862943611198906,70,6.647688373563329,1,No,No,1,17.91936909661043,4.0,0,Neutral,1,0
1601,Individual,58,Web,Quarterly,28,5,7,0.0,30,7.462214939768189,1,No,No,0,33.85771492680712,5.0,1,Neutral,0,0
1603,SME,21,Mobile,Monthly,14,4,6,2.1972245773362196,20,6.042632833682381,0,Yes,No,2,30.77691297683314,4.0,0,Neutral,3,0
1604,SME,43,Referral,Monthly,18,4,2,1.6094379124341003,30,7.1631723908466425,0,No,No,2,33.47553349155409,4.0,0,Neutral,1,0
1605,Individual,24,Web,Quarterly,30,2,1,2.0794415416798357,20,6.175867270105761,1,Yes,Yes,1,14.166818399756425,4.0,0,Neutral,1,0
1606,Individual,15,Web,Quarterly,8,4,9,2.8903717578961645,50,6.621405651764134,1,No,No,1,17.01642029682029,5.0,0,Neutral,1,0
1607,Individual,3,Mobile,Monthly,15,1,4,1.791759469228055,20,4.110873864173311,0,No,No,0,12.039714378538664,4.0,0,Neutral,2,0
1608,SME,2,Mobile,Monthly,4,0,6,1.9459101490553132,100,5.303304908059076,0,Yes,No,0,37.24921273975974,3.0,0,Neutral,2,0
1609,Individual,7,Web,Quarterly,9,0,13,2.995732273553991,10,4.2626798770413155,0,No,No,1,32.282732746140155,4.0,0,Neutral,0,0
1610,Individual,5,Referral,Monthly,17,6,5,1.9459101490553132,20,4.61512051684126,0,No,Yes,1,13.411251979777749,3.0,0,Satisfied,1,0
1611,Individual,53,Referral,Quarterly,30,1,6,3.367295829986474,10,6.274762021241939,1,Yes,Yes,0,25.259375831817227,4.0,0,Satisfied,1,0
1612,Individual,45,Mobile,Quarterly,26,6,6,3.1780538303479458,100,8.412054873292933,0,Yes,No,1,24.372985899455152,5.0,0,Unsatisfied,1,0
1613,SME,40,Web,Monthly,29,7,5,0.0,10,5.993961427306569,0,No,No,1,33.43851375488072,5.0,1,Satisfied,0,0
1614,Individual,29,Mobile,Monthly,26,0,6,1.0986122886681098,20,6.364750756851911,1,No,Yes,0,10.186678913182298,4.0,0,Neutral,0,0
1615,Individual,41,Web,Quarterly,10,7,5,1.9459101490553132,20,6.710523109452428,1,Yes,No,0,29.547598955380693,4.0,0,Satisfied,1,0
1616,SME,32,Mobile,Quarterly,36,0,5,0.6931471805599453,20,6.46302945692067,0,No,No,1,26.074159912459056,3.0,0,Unsatisfied,0,0
1619,Individual,32,Web,Quarterly,36,3,1,0.6931471805599453,20,6.46302945692067,0,No,Yes,2,26.43614266795346,2.0,0,Unsatisfied,1,0
1620,SME,42,Referral,Monthly,19,6,6,2.4849066497880004,50,7.650168700845001,0,Yes,No,1,24.165452615544947,5.0,0,Neutral,2,1
1621,Enterprise,2,Mobile,Yearly,15,3,4,2.5649493574615367,10,3.044522437723423,0,No,No,0,31.31739922955463,2.0,0,Neutral,0,0
1622,SME,10,Referral,Monthly,0,1,3,2.0794415416798357,30,5.707110264748875,1,Yes,No,1,31.492047995298297,4.0,0,Satisfied,2,1
1623,SME,43,Web,Quarterly,21,0,5,0.6931471805599453,70,8.010027528481734,0,No,Yes,1,15.540391825356132,5.0,0,Satisfied,1,0
1624,Individual,55,Web,Monthly,19,1,1,2.833213344056216,70,8.25608813381491,0,No,No,1,30.40007366600805,4.0,0,Satisfied,0,0
1625,Individual,43,Web,Monthly,13,4,9,3.1354942159291497,20,6.7580945044277305,1,Yes,No,1,39.28285641283294,2.0,1,Neutral,3,0
1626,Individual,37,Web,Monthly,15,3,5,3.258096538021482,20,6.608000625296087,1,Yes,Yes,0,31.536040902659263,5.0,0,Neutral,0,0
1627,SME,46,Web,Monthly,25,0,5,1.0986122886681098,20,6.825460036255307,2,No,No,1,31.69762928543448,4.0,1,Unsatisfied,1,1
1628,Individual,55,Mobile,Monthly,1,2,4,2.302585092994046,30,7.409136443920128,0,No,No,0,17.759747105750005,4.0,0,Neutral,0,1
1629,SME,3,Mobile,Monthly,32,3,7,2.5649493574615367,20,4.110873864173311,0,No,No,2,20.21122623202882,3.0,0,Neutral,3,0
1630,SME,52,Web,Monthly,28,0,8,0.0,20,6.947937068614969,1,No,No,1,16.35334008121345,3.0,0,Neutral,3,0
1631,Enterprise,23,Web,Monthly,16,4,5,2.1972245773362196,30,6.53813982376767,0,Yes,No,0,46.46017824997138,4.0,0,Satisfied,2,0
1632,Individual,34,Mobile,Quarterly,19,1,7,0.0,30,6.928537818164665,0,No,No,2,30.861298507756324,2.0,1,Satisfied,1,0
1633,Individual,18,Web,Quarterly,23,7,2,2.833213344056216,10,5.198497031265826,3,No,No,2,33.726459641446525,2.0,0,Neutral,1,0
1634,Individual,33,Referral,Monthly,28,0,6,3.091042453358316,100,8.101980731853192,0,Yes,Yes,2,30.68584445235481,4.0,0,Satisfied,2,0
1635,Individual,33,Web,Monthly,40,0,3,2.3978952727983707,30,6.898714534329988,0,No,No,1,28.43286003062093,4.0,0,Neutral,0,0
1636,SME,17,Web,Monthly,14,3,1,3.295836866004329,50,6.7464121285733745,3,No,No,3,19.40164632216876,3.0,0,Satisfied,3,0
1637,Individual,6,Web,Monthly,33,0,1,1.3862943611198906,20,4.795790545596741,0,Yes,No,2,35.69783647824261,2.0,1,Satisfied,2,0
